"id_campanha","campanha","estado","cidade","id_usuario","Categoria","Palavra_Chave","Visualizacoes","valor_arrecadado","valor_campanha","imagem","data_criacao"
"332","Doação de água potavel","SE","Aracaju","5656","Infraestrutura","material,agua","5000","2000","10000","Imagens/Hortas/agua.jpeg","2/10/2024"
"478","Cosntrução de poço","PE","Recife","4568","Infraestrutura","material,ferramentas","4500","3300","12000","Imagens/Hortas/poco.jpg","2/20/2024"
"572","Precisamos de sementes","PE","Jaboatao dos Guararapes","6487","Plantio","plantacao,sementes","600","872","5000","Imagens/Hortas/sementes.jpg","2/27/2024"
"945","Cultivo de hortaliças","AM","Manaus","5623","Plantio","plantacao,hortaliça","2000","1520","4000","Imagens/Hortas/hortalicas.jpg","2/16/2024"
"623","Precisamos de enxadas","BA","Salvador","5864","Ferramentas","ferramentas,equipamento, enxada","50","700","8000","Imagens/Hortas/enxadas.png","2/28/2024"
"889","Necessitamos de adubo","PE","Gravata","5468","Fertilizantes","solo,adubo","211","570","9000","Imagens/Hortas/adubo.jpg","2/26/2024"
"684","Precisamos de maçãs","SE","Umbauba","8797","Mudas","plantacao,frutas,mudas,maça","545","945","11500","Imagens/Hortas/mudasdearvore.png","2/26/2024"
"457","Precismos de sistema de irrigação","PE","Aracaju","9878","Tecnologia","material,tecnologia.agua","3200","4200","9000","Imagens/Hortas/Irrigacao.jpg","2/15/2024"
"458","Instalação de sensores de umidade","PE","Jaboatao dos Guararapes","5456","Tecnologia","material,tecnologia,agua","700","430","10000","Imagens/Hortas/sensoresdeumidade.jpg","2/25/2024"
"358","Precisamos de composteira","PE","Olinda","8776","Sustentabilidade","material,sustentavel","800","500","7000","Imagens/Hortas/composteira.jpg","2/23/2024"
"875","Contratação de um biólogo para aula","PE","Bezerros","4546","Educacao","conhecimento,educacao","400","3000","11000","Imagens/Hortas/aulabiologo.jpeg","2/15/2024"
"602","Reparo de cercas","PE","Caruaru","5537","Manutencao","material,reparo","761","5000","8000","Imagens/Hortas/cercashortas.jpg","2/10/2024"
"402","Manutenção de ferramentas","PE","Garanhus","4685","Manutencao","material,ferramentas,reparo","3488","750","15000","Imagens/Hortas/ferramentasjardinagens.jpg","2/29/2024"
"613","Automação de estufas","PE","Paulista","1675","Tecnologia","material,tecnologia","354","1215","7500","Imagens/Hortas/estufa.jpg","3/1/2024"
"574","Compra de pás","SE","Japaratuba","4678","Ferramentas","ferramentas,equipamento, pa","876","3500","10000","Imagens/Hortas/pashorta.jpg","2/19/2024"
"186","Aquisição de fertilizanttes orgânicos","SE","Rosario do Calete","1385","Fertilizantes","solo,fertilizante","788","500","8000","Imagens/Hortas/fertilizantes.jpeg","2/28/2024"
"200","Plantio de árvores Frutíferas","SE","Boa Vista","2354","Mudas","plantacao, frutas,mudas, banana,maça,manga","767","800","9000","Imagens/Hortas/mudasfrutiferas.jpg","3/1/2024"
"248","Cultivo de tomates","SE","Cumbe","1423","Plantio","plantacao, mudas,tomate","325","4600","14500","Imagens/Hortas/mudasdearvore.png","3/20/2024"
"357","Plantação de ervas","SE","Pacatuba","5488","Plantio","plantacao,mudas","2555","1000","7000","Imagens/Hortas/mudasdearvore.png","2/28/2024"
"900","Estamos precisando de enxadas","SE","Boa Vista","9454","Ferramentas","ferramentas, equipamento, enxada","4589","4600","4800","Imagens/Hortas/enxadas.png","2/10/2024"
"955","Ajude a comprar ancinhos","SE","Boa Vista","4737","Ferramentas","ferramentas,equipamento, ancinho","767","3500","3800","Imagens/Hortas/ancinho-1.jpg","2/19/2024"
